{逆接語尾},color(1)逆説color(0),けどな,が,が,けど,がな,が,がよ,が,けどな,がな,が,けど,けどナ,が,が,がな,がなあ,けどね,けどな,けど,けど,けどね,が,ケド,ガ,がね,ど,し,ガ,が,けど,が,が,けど,けどな,けどね,がな,が,けど,が,が,けど,が,が,が,が,が,が,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{問いかけ},color(1)問いcolor(0),か,か,か,かい,か,か,か,か,{n/a},か,か,か,{n/a},か,か,かな,か,かい,か,{n/a},{n/a},{n/a},{n/a},カ,カ,かい,け,け,{n/a},か,かい,か,か,{n/a},カ,かい,かね,か,か,か,か,か,かい,かい,かい,かい,かい,かい,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{促意語尾1},color(1)語尾１color(0),ぜ,ぞ,ぞ,よ,{n/a},よ,ぜ,{n/a},よ,ぞ,よ,よ,ヨ,ぞ,ぞ,ぞ,ぜ,よ,ぜ,よ,よ,よ,よ,ヨ,ゾ,ぞ,わら,だも,ヨ,ぞ,ぞ,ぞヨ,よ,よ,ヨ,ぞ,ゾ,よ,ぞ,ぞ,よ,よ,ゾ,ゾ,ゾ,ゾ,ゾ,ゾ,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{促意語尾2},color(1)語尾２color(0),な,な,な,ね,な,ね,な,な,ね,な,ね,ね,もンね,な,な,な,な,ねぇ,な,ね,ね,な,ね,ネ,ナ,よ,わら,だも,ネ,な,ね,ね,ね,ね,ナ,ヨ,な,よ,な,な,ね,ね,ネ,ネ,ネ,ネ,ネ,ネ,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{否定形},color(1)否定color(0),ねぇ,ない,ない,ない,ない,ない,ねえ,ない,ない,ない,ない,ない,ない,ない,ない,ない,ない,ない,ない,ない,ない,ない,ない,ナイ,ナイ,ない,ない,ない,ナイ,ない,ない,ない,ない,ない,ない,ない,ない,ない,ない,ない,ない,ない,ナイ,ナイ,ナイ,ナイ,ナイ,ナイ,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{順接接続詞},color(1)順接color(0),じゃ,では,では,じゃ,では,では,じゃ,では,じゃ,じゃ,では,じゃあ,じゃあ,では,では,では,では,じゃ,じゃ,じゃ,じゃ,じゃ,では,デハ,デハ,じゃ,なら,だば,では,では,じゃ,されば,では,じゃ,じゃ,じゃ,じゃ,では,では,では,では,じゃ,じゃ,じゃ,じゃ,じゃ,じゃ,じゃ,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{逆接接続詞},color(1)逆接color(0),けど,しかし,だが,けど,しかし,しかし,けど,だが,けど,けど,しかし,でしゅが,けれども,しかし,じゃが,しかし,しかし,けど,けど,でも,けど,けど,でも,ダケド,ケド,けど,けれど,だども,ケド,しかし,しかし,されど,しかし,けど,けど,けど,けど,しかし,けど,だが,しかし,けど,ケド,ケド,ケド,ケド,ケド,ケド,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{呼びかけ},color(1)呼ぶcolor(0),なぁ,おい,なあ,ねぇ,おい,ねぇ,なぁ,おい,ねぇ,なぁ,ねぇ,ねぇ,ねぇ,おい,なあ,のぉ,おい,ねぇ,なぁ,ねぇ,ねぇ,ねぇ,ねぇ,ねぇ,ねぇ,ちょいと,ねぇ,ねぇ,ねぇ,おい,ねぇ,さてよ,ねぇ,ねぇ,ねぇ,ねぇ,なぁ,ねぇ,なあ,おい,ねぇ,ねぇ,ねぇ,ねぇ,ねぇ,ねぇ,ねぇ,ねぇ,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{丁寧語尾},color(1)のですcolor(0),{n/a},{n/a},{n/a},{n/a},{n/a},です,{n/a},{n/a},{n/a},{n/a},です,でしゅ,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},です,{n/a},{n/a},{n/a},{n/a},です,{n/a},{n/a},です,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{未然否定},color(1)未然否定color(0),ねぇ,ぬ,ない,ない,ぬ,ない,ねぇ,ん,ない,ない,ない,ない,ない,ん,ん,ぬ,ん,ない,ない,ない,ない,ない,ない,ナイ,ない,ん,ない,ん,ナイ,ない,ない,ない,ない,ない,ない,ない,ん,ない,ない,ぬ,ない,ない,ナイ,ナイ,ナイ,ナイ,ナイ,ナイ,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{笑い},color(1)笑いcolor(0),ハハッ,ククク,ハハハ,アハハ,フハハ,ホホホ,ハハハ,フフフ,アハハ,イシシ,ホホホ,エヘヘ,アハハ,ハッハッ,ウハハ,フハハ,ハハハ,アハハ,ハハハ,アハハ,ウフフ,ククク,ウフフ,クキュ～,ピペペ,ヒヒヒ,ワララ,クヒヒ,キキキ,ハハハ,カカカ,シシシ,ウフフ,アハハ,アハハ,キシシ,イシシ,ウフフ,ハハハ,フフッ,ハハハ,ハハハ,ククク,ククク,ククク,ククク,ククク,ククク,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{怒り},color(1)チッ！color(0),チッ！,くッ！,む！,くそッ！,フン！,く！,けッ！,むぅ！,ち！,ケッ！,く！,シュ！,クッ！,ちぃ！,けッ！,むむ！,くッ！,く！,ケッ！,う！,ち！,けッ！,くッ！,キィ！,キィ！,きぃ！,シャッ！,カッ！,キイ,けッ！,クカッ！,シャッ！,く！,くッ！,むッ!,くぅ！,けッ！,う！,ち！,むッ！,く！,く！,げ！,げ！,げ！,げ！,げ！,げ！,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
