{###NAME###},セルジュ,キッド,アルフ,イシト,スラッシュ,蛇骨,リデル,カーシュ,ゾア,マルチェラ,コルチャ,ルチアナ,ポシュル,ラズリー,ザッパ,オーチャ,ラディウス,ファルガ,ママチャ,グレン,レナ,ミキ,ツクヨミ,ジャネス,龍の子,星の子,スプリガン,ラッキーダン,カブ夫,改良フィオ,ジルベルト,スカール,キノコ,イレーネス,メル,リーア,バンクリフ,スネフ,スティーナ,ドク,ギャダラン,ピエール,オルハ,ツマル,ツマル,ツマル,ツマル,ツマル,ツマル,ヤマネコ,{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a},{n/a}
{-}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-, , , , , , , , , 
{thd},th,th,th,th,th,th,th,th,th,th,th,d,th,th,th,th,th,th,th,th,th,th,z,th,d,th,th,th,th,th,th,th,th,d,th,th,th,th,th,th,th,th,th,d,d,d,d,d,d,th
{thf},th,th,th,th,th,th,th,th,th,th,th,t',th,th,th,th,th,th,th,th,th,th,t',th,th,th,th,th,th,th,th,th,th,t',th,th,th,f,th,th,th,th,th,th,th,th,th,th,th,th
{thff},th,th,th,th,th,th,th,th,th,th,th,tt,th,th,th,th,th,th,th,th,th,th,tt',th,th,th,th,th,th,th,th,th,th,tt,th,th,th,ff,th,th,th,th,th,th,th,th,th,th,th,th
{thvv},th,th,th,th,th,th,th,th,th,th,th,tt,th,th,th,th,th,th,th,th,th,th,dd,th,th,th,vv,th,th,th,th,th,th,tt,th,th,th,f,th,th,th,th,th,th,th,th,th,th,th,th
{sth},s,s,s,s,s,s,s,s,s,s,s,s,th,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
{stz},s,s,s,s,s,s,s,s,s,s,s,s,th,s,s,s,s,s,s,s,s,s,z,s,s,s,s,s,s,s,s,s,s,st,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
{w},w,w,w,w,w,w,w,w,w,w,w,v,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
{-umeth},◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,-om,-eth,◆,◆,◆,◆,◆,◆,-um,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆,◆
{-a-},a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,ä ,a ,◆,a ,a ,a ,a ,a-,a ,a ,a ,a ,a ,a ,a ,a ,a 
{-an-},an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,an ,än ,an ,◆,an ,an ,an ,an ,an-,an ,an ,an ,an ,an ,an ,an ,an ,an 
{-the-},the ,the ,the ,the ,the ,the ,the ,the ,the ,the ,the ,the ,the ,the ,the ,the ,the ,the ,the ,the ,the ,the ,ze ,the ,de ,the ,the ,the ,the ,the ,the ,the ,the ,thë ,the ,◆,the ,the ,the ,the ,the-,the ,the ,de ,de ,de ,de ,de ,de ,the 
{-I-},I,I,I,I,I,I,I,I,I,I,I,I,Me,I,I,I,I,I,I,I,I,I,I,I,I,STARKY%,I,I,I,I,I,I,I,I,I,LEEA%,I,I,I,I,GROBYC%,I,I,I,I,I,I,I,I,I
{-my-},my,me,my,my,my,my,my,my,my,my,my,my,my,my,my,my,my,my,my,my,my,my,mon,my,my,STARKY%'s,me,my,mine,my,my,my,my,my,my,LEEA%'s,my,my,my,my,GROBYC%'s,my,my,my,my,my,my,my,my,my
{-me-},me,me,me,me,me,me,me,me,me,me,me,me,I,me,me,me,me,me,me,me,me,me,moi,me,me,STARKY%,me,me,me,me,me,me,me,më,me,LEEA%,me,me,me,me,GROBYC%,me,me,me,me,me,me,me,me,me
{-you-},you,ya,you,you,you,you,you,you,you,you,you,you,you,you,you,you,you,you,you,you,you,you,you,you,you,youu,ya,yoou,thou,you,you,you,you,yöu,you,you,you,you,you,you,you,you,you,you,you,you,you,you,you,you
{-your-},your,yer,your,your,your,your,your,your,your,your,your,your,your,your,your,your,your,your,your,your,your,your,your,your,yourrr,youur,ya,yoour,thine,your,your,your,your,yöur,your,your,your,your,your,your,your,your,your,your,your,your,your,your,your,your
{yes},yes,yeah,yes,yes,yes,yes,yes,yes,yes,yes,yes,dä,yeth,yes,yes,yes,yes,yes,yes,yes,yes,yes,oui,yes,yes,yes,yes,yes,yes,yep,yes,yes,yes,jä,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
{n't},n't,n't, not, not,n't, not, not,n't,n't,n't,n't, not,n't,n't,n't,n't,n't,n't,n't, not,n't,n't,n't,n't,n't,n't,n't,n't,n't,n't, not,n't,n't, not,n't,n't,n't,n't, not, not,-not,n't,n't,n't,n't,n't,n't,n't,n't,n't
{n't-you},n't you,n't ya, you not, you not,n't you, you not, you not,n't you,n't you,n't you,n'tCHA, you not,n't you,n't you,n't you,n'tCHA,n't you,n't you,n'tCHA, you not,n't you,n't you,n't you,n't you,n't you,n't youu,n'tcha,n't yoou,n't thee,n't you, you not,n't you,n't you, nöt yoü,n'tCHA,n't you,n't you,n't you, you not, you not,-you-not,n't you,n't you,n't you,n't you,n't you,n't you,n't you,n't you,n't you
{can't},can't,can't,cannot,cannot,can't,cannot,cannot,can't,can't,can't,can't,cannot,can't,can't,can't,can't,can't,can't,can't,cannot,can't,can't,can't,can't,can't,can't,can't,can't,can't,can't,cannot,can't,can't,cännöt,can't,can't,can't,can't,cannot,cannot,cannot,can't,can't,can't,can't,can't,can't,can't,can't,can't
{can't-you},can't you,can't ya,can you not,can you not,can't you,can you not,can you not,can't you,can't you,can't you,can'tCHA,can you not,can't you,can't you,can't you,can'tCHA,can't you,can't you,can'tCHA,can you not,can't you,can't you,can't you,can't you,can't you,can't youu,can'tcha,can't yoou,can't thee,can't you,can you not,can't you,can't you,cännöt yöu,can'tCHA,can't you,can't you,can't you,can you not,can you not,can-you-not,can't you,can't you,can't you,can't you,can't you,can't you,can't you,can't you,can't you
{won't},won't,won't,will not,will not,won't,will not,will not,won't,won't,won't,won't,vill not,won't,won't,won't,won't,won't,won't,won't,will not,won't,won't,won't,won't,won't,woon't,won't,woon't,won't,won't,will not,won't,won't,will nöt,won't,won't,won't,won't,will not,will not,will-not,won't,won't,won't,won't,won't,won't,won't,won't,won't
{won't-you},won't you,won't ya,will you not,will you not,won't you,will you not,will you not,won't you,won't you,won't you,won'tCHA,vill you not,won't you,won't you,won't you,won'tCHA,won't you,won't you,won'tCHA,will you not,won't you,won't you,won't you,won't you,won't you,woon't youu,won'tcha,woon't yoou,won't thee,won't you,will you not,won't you,won't you,will nöt yöu,won'tCHA,won't you,won't you,won't you,will you not,will you not,will-you-not,won't you,won't you,won't you,won't you,won't you,won't you,won't you,won't you,won't you
{aren't},aren't,ain't,are not,are not,aren't,are not,are not,aren't,aren't,aren't,aren't,are not,aren't,aren't,aren't,aren't,aren't,aren't,aren't,are not,aren't,aren't,aren't,aren't,arrren't,aren't,aren't,aren't,aren't,aren't,are not,aren't,aren't,äre nöt,aren't,aren't,aren't,aren't,are not,are not,are-not,aren't,aren't,aren't,aren't,aren't,aren't,aren't,aren't,aren't
{aren't-you},aren't you,ain't ya,are you not,are you not,aren't you,are you not,are you not,aren't you,aren't you,aren't you,aren'tCHA,are you not,aren't you,aren't you,aren't you,aren'tCHA,aren't you,aren't you,aren'tCHA,are you not,aren't you,aren't you,aren't you,aren't you,arrren't you,aren't youu,aren'tcha,aren't yoou,aren't thee,aren't you,are you not,aren't you,aren't you,äre nöt yoü,aren'tCHA,aren't you,aren't you,aren't you,are you not,are you not,are-you-not,aren't you,aren't you,aren't you,aren't you,aren't you,aren't you,aren't you,aren't you,aren't you
{'ve},'ve,'ve, have, have,'ve, have, have,'ve,'ve,'ve,'ve, have, have,'ve,'ve,'ve,'ve,'ve,'ve, have,'ve,'ve, have,'ve,'ve, have,'ve,'ve,'ve, have, have,'ve,'ve, häve,'ve,ve,'ve,'ve, have, have,-have,'ve,'ve,'ve,'ve,'ve,'ve,'ve,'ve,'ve
{'ll},'ll,'ll, will, will,'ll, will, will,'ll,'ll,'ll,'ll, vill,'ll,'ll,'ll,'ll,'ll,'ll,'ll, will,'ll,'ll,'ll,'ll,'ll, will,'ll,'ll,'ll, will, will,'ll,'ll, will,'ll,'ll,'ll,'ll, will, will,-will,'ll,'ll,'ll,'ll,'ll,'ll,'ll,'ll,'ll
{'ld},'d,'d, would, would,'d, would, would,'d,'d,'d,'d, vould,'d,'d,'d,'d,'d,'d,'d, would,'d,'d,'d,'d,'d,'d,'d,'d,'d,'d, would,'d,'d, wöuld,'d,'d,'d,'d, would, would,-would,'d,'d,'d,'d,'d,'d,'d,'d,'d
{'d},'d,'d, had, had,'d, had, had,'d,'d,'d,'d, had,'d,'d,'d,'d,'d,'d,'d, had,'d,'d,'d,'d,'d,'d,'d,'d,'d,'d, had,'d,'d, häd,'d,'d,'d,'d, had, had,-had,'d,'d,'d,'d,'d,'d,'d,'d,'d
{t-you},t you,t ya,t you,t you,t you,t you,t you,t you,t you,t you,tCHA,t you,t you,t you,t you,tCHA,t you,t you,tCHA,t you,t you,t you,t you,t you,t you,t youu,tcha,t yoou,t thee,t you,t you,t you,t you,t yöu,tCHA,t you,t you,t you,t you,t you,t-you,t you,t you,t you,t you,t you,t you,t you,t you,t you
{'s},'s,'s, is, is,'s, is, is,'s,'s,'s,'s, is,'th,'s,'s,'s,'s,'s,'s, is,'s,'s,'z,'s,'s,'s,'s,'s, be,'s, is,'s,'s, ist,'s,'s,'s,'s, is, is,-is,'s,'s,'s,'s,'s,'s,'s,'s,'s
{ss},ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,th,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss
{wha},wha,wha,wha,wha,wha,wha,wha,wha,wha,wha,wha,vo,wha,wha,wha,wha,wha,wha,wha,wha,wha,wha,wha,wha,wha,wha,wo,wha,wha,wha,wha,wha,wha,whä,wha,wha,wha,wha,wha,wha,wha,wha,wha,wha,wha,wha,wha,wha,wha,wha
{SERGE},SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,{-i}SERGE%poo,{-y}SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%-us,SERGE%-om,Sir SERGE%,{-i}SERGE%pie,SERGE%,Mister S_%,SERGE%,Herr SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,The-SERGE%,SERGE%,SERGE%,{-i}SERGE%kins,{-i}SERGE%kins,{-i}SERGE%kins,{-i}SERGE%kins,{-i}SERGE%kins,{-i}SERGE%kins,SERGE%
{SERGE%},SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,{-i}SERGE%poo,{-y}SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%-us,SERGE%-om,Sir SERGE%,{-i}SERGE%pie,SERGE%,Mister S_%,SERGE%,Herr SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,SERGE%,The-SERGE%,SERGE%,SERGE%,{-i}SERGE%kins,{-i}SERGE%kins,{-i}SERGE%kins,{-i}SERGE%kins,{-i}SERGE%kins,{-i}SERGE%kins,SERGE%
